N,M,Max Precision (bits),Min Precision (bits),Network,Layer,Cycles,Memory wait cycles,WBUF Read,WBUF Write,OBUF Read,OBUF Write,IBUF Read,IBUF Write,DRAM Read,DRAM Write,Bandwidth (bits/cycle),WBUF Size (bits),OBUF Size (bits),IBUF Size (bits),Batch size
2,2,8,2,inceptionv3,conv77/Convolution,7864533,213,251658240,15728640,503316480,503316480,251658240,655360,268042240,251658240,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv78/Convolution,591288,1464,37748736,4718592,1572864,1572864,37748736,98304,5603328,786432,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv79/Convolution,5308742,326,339738624,21233664,18874368,18874368,339738624,884736,31555584,9437184,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv80/Convolution,9175282,242,293601280,18350080,587202560,587202560,293601280,655360,312606720,293601280,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv81/Convolution,6193478,326,396361728,24772608,22020096,22020096,396361728,1032192,36814848,11010048,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv82/Convolution,591288,1464,37748736,4718592,1572864,1572864,37748736,98304,5603328,786432,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv83/Convolution,5308742,326,339738624,21233664,18874368,18874368,339738624,884736,31555584,9437184,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv84/Convolution,3932285,125,125829120,7864320,251658240,251658240,125829120,655360,134348800,125829120,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv85/Convolution,2621748,308,167772160,5242880,168427520,168427520,167772160,83886080,89784320,655360,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv86/Convolution,3146036,308,201326592,6291456,202113024,202113024,201326592,100663296,107741184,786432,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv87/Convolution,591288,1464,37748736,4718592,1572864,1572864,37748736,98304,5603328,786432,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv88/Convolution,5308742,326,339738624,21233664,18874368,18874368,339738624,884736,31555584,9437184,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv89/Convolution,3670324,308,234881024,7340032,235798528,235798528,234881024,117440512,125698048,917504,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv90/Convolution,6193478,326,396361728,24772608,22020096,22020096,396361728,1032192,36814848,11010048,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv91/Convolution,591288,1464,37748736,4718592,1572864,1572864,37748736,98304,5603328,786432,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv92/Convolution,5308742,326,339738624,21233664,18874368,18874368,339738624,884736,31555584,9437184,70,65536,16384,32768,1
2,2,8,2,inceptionv3,conv93/Convolution,1573099,235,100663296,3145728,100663296,100663296,100663296,524288,54001664,50331648,70,65536,16384,32768,1
2,2,8,2,inceptionv3,fc94/MatMul,129047,1047,8192000,8192000,544000,544000,8192000,8192,8232192,32000,70,65536,16384,32768,1
2,2,8,2,sst_2,fc0/MatMul,18874516,148,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,70,65536,16384,32768,1
2,2,8,2,sst_2,fc1/MatMul,18874516,148,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,70,65536,16384,32768,1
2,2,8,2,sst_2,fc2/MatMul,18874516,148,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,70,65536,16384,32768,1
2,2,8,2,sst_2,fc3/MatMul,4718790,198,301989888,75497472,37748736,37748736,301989888,393216,94765056,18874368,70,65536,16384,32768,1
2,2,8,2,sst_2,fc4/MatMul,75497562,90,2415919104,2415919104,75497472,75497472,2415919104,786432,2454454272,37748736,70,65536,16384,32768,1
2,2,8,2,sst_2,fc5/MatMul,18874530,162,1207959552,75497472,150994944,150994944,1207959552,1572864,152567808,75497472,70,65536,16384,32768,1
2,2,8,2,sst_2,fc6/MatMul,18874516,148,603979776,4718592,1207959552,1207959552,603979776,9437184,618135552,603979776,70,65536,16384,32768,1
